Currency,Type,Best_Model,Val_RMSE,Test_RMSE,Test_R2
USD_CNY,close,"ARIMA(3,0,4)",0.11709882833465439,0.09367664093649429,-2.679776552179507
USD_CNY,open,"ARIMA(1,2,0)",0.10922831662978613,0.03584088466803306,0.4453104896783443
USD_CNY,high,"ARIMA(0,2,1)",0.10812070692575367,0.0636613377113037,-0.7009956360275105
USD_CNY,low,"ARIMA(1,2,0)",0.11366640719189906,0.2785437910668261,-32.81240431517384
USD_EUR,close,"ARIMA(4,2,1)",0.013449394226998078,0.04913060658099665,-5.369855048202365
USD_EUR,open,"ARIMA(2,2,2)",0.014095567457429868,0.013954125255424433,0.47165220851997025
USD_EUR,high,"ARIMA(0,1,0)",0.01573948977767509,0.0487427321699752,-5.508994007248855
USD_EUR,low,"ARIMA(0,2,2)",0.014143810662945547,0.030185871823585956,-1.4385885496016404
USD_JPY,close,"ARIMA(2,2,2)",2.184152951115746,3.4680956302583037,-22.10256206209214
USD_JPY,open,"ARIMA(2,2,3)",2.2491880512525855,3.321517321506817,-22.179302418146996
USD_JPY,high,"ARIMA(3,2,3)",2.153292929467219,3.5121183197669756,-24.583396048697537
USD_JPY,low,"ARIMA(1,2,4)",2.052688965233642,3.382966367842089,-24.431481973268653
