Currency,Type,p,d,q,AIC,BIC,Train_MAE,Train_MSE,Train_RMSE,Train_R2,Val_MAE,Val_MSE,Val_RMSE,Val_R2,Test_MAE,Test_MSE,Test_RMSE,Test_R2
USD_CNY,close,2,2,2,-4763.440673694644,-4739.184749057175,0.0243240779912068,0.0704148720916377,0.2653580074006392,0.333005096736221,0.217398062327508,0.091168633494427,0.3019414405053189,-2.767837946163324,0.0248456349529947,0.0008828024236146,0.0297119912428408,0.6298119921796429
USD_CNY,high,2,2,4,-4951.804815671247,-4917.846521178791,0.0226858040341195,0.0705899100412774,0.2656876174029897,0.3335769445757967,0.1486069015745937,0.0497483178710455,0.2230433094065939,-1.0118936420834084,0.0264305344667389,0.0010276431429745,0.0320568735683085,0.5686855504495872
USD_CNY,low,2,2,2,-4884.9060982730925,-4860.650173635624,0.0235256953370303,0.0702966116173679,0.2651350818306924,0.3340360306153239,0.2001492402364938,0.0808016733006997,0.2842563513814595,-2.3554929733280474,0.02366611985366,0.0008471974577633,0.0291066565885425,0.6307897639466851
USD_CNY,open,1,2,1,-4705.691530048431,-4691.1379752659495,0.0245129880805384,0.0706840231778722,0.2658646707967649,0.3317010767237289,0.2094667449832622,0.0863529490848432,0.2938587230028118,-2.5128478219582795,0.0249253449791931,0.0009026289307136,0.0300437835618899,0.6102359669227877
USD_EUR,close,1,2,0,-7275.040997712875,-7265.274072540048,0.0057212459350773,0.0010241107331814,0.032001730159187,0.2569750175651334,0.2212285939068569,0.0631382225296052,0.251273202967617,-445.5795433990553,0.0128964195081863,0.0002162021015069,0.0147038124820394,0.4294611682391535
USD_EUR,high,0,2,0,-7499.201562538186,-7494.318099951774,0.0051173312846524,0.0010243242356886,0.0320050657816642,0.2900399364818047,0.5844246153488563,0.4477654259448043,0.6691527672697799,-3126.098575849193,0.0097728241070682,0.0001358647676986,0.0116561043105586,0.6277789033730821
USD_EUR,low,4,2,0,-7802.3536259629345,-7777.936313030869,0.0045685992255174,0.0010046641125158,0.031696436905682,0.2390810036083949,0.1706563453589015,0.0371136756423883,0.192649099770511,-269.30131361212165,0.0095124765896812,0.000121345595191,0.0110156976715547,0.675245558624151
USD_EUR,open,1,2,2,-7619.51303574012,-7599.979185394468,0.0049519822975619,0.0010041101292024,0.0316876968112611,0.2742985623938404,0.0117018115950097,0.0002020940206585,0.0142159776539828,-0.4292221508931224,0.0110122203887881,0.0001557521899071,0.0124800717108163,0.5773811887851951
USD_JPY,close,2,0,4,2583.484678043957,2622.568755404236,0.6507216744277993,0.8284039494381449,0.9101669898640276,0.9958991182347058,7.092168173247479,68.45382885140711,8.273682907351906,-10.431894425717974,1.232129056096411,2.009457598589515,1.417553384740594,-2.859729449415971
USD_JPY,high,4,0,4,2330.3343559929854,2379.1894526933334,0.5449180341830406,0.6414200708839278,0.8008870525136037,0.9968683934398016,4.89258018878722,33.31503848223038,5.771918093860166,-4.555356889088813,1.2651946267207714,2.1033123683011024,1.450280099946594,-3.3623820016534465
USD_JPY,low,4,0,1,2506.6965633307545,2540.895131020998,0.5999580151711039,0.832186135575272,0.9122423666851216,0.9958245139388096,7.267601401929778,71.08478640270987,8.43117941943533,-10.97317511589279,1.1706060240330385,1.8060778201413352,1.3439039475131156,-3.013402967205259
USD_JPY,open,2,0,4,2578.829181044126,2617.9132584044046,0.6516400945138361,0.9168896044491384,0.9575435261381794,0.9954767998961296,8.057795199124783,87.49602151845156,9.353930805733574,-13.660331701543075,1.2352837211385217,2.0025231440023354,1.4151053473159994,-3.207313391195518
