date,open,high,low,close
2025-04-04,7.28,7.2818,7.28,7.281
2025-04-03,7.299,7.3049,7.2706,7.278
2025-04-02,7.2712,7.2721,7.2663,7.2681
2025-04-01,7.2611,7.2708,7.2606,7.2706
2025-03-31,7.257,7.2589,7.2469,7.257
2025-03-28,7.2635,7.2661,7.2612,7.263
2025-03-27,7.264,7.2686,7.2596,7.262
2025-03-26,7.2609,7.2691,7.2609,7.2691
2025-03-25,7.2626,7.264,7.2554,7.2593
2025-03-24,7.2584,7.2615,7.2502,7.2605
2025-03-21,7.25,7.254,7.2441,7.2506
2025-03-20,7.2282,7.2495,7.2254,7.2495
2025-03-19,7.2322,7.2385,7.2278,7.228
2025-03-18,7.231,7.2366,7.2214,7.2231
2025-03-17,7.2287,7.2414,7.2226,7.224
2025-03-14,7.251,7.2514,7.2283,7.2358
2025-03-13,7.235,7.2485,7.2303,7.244
2025-03-12,7.2258,7.2485,7.2164,7.2383
2025-03-11,7.2578,7.2603,7.2233,7.2275
2025-03-10,7.2428,7.266,7.242,7.2595
2025-03-07,7.2496,7.2535,7.2265,7.243
2025-03-06,7.2398,7.2511,7.2359,7.242
2025-03-05,7.2675,7.2732,7.2203,7.2345
2025-03-04,7.2875,7.2893,7.2551,7.2608
2025-03-03,7.282,7.2936,7.2793,7.288
2025-02-28,7.2895,7.2911,7.2755,7.2798
2025-02-27,7.2645,7.287,7.259,7.287
2025-02-26,7.2502,7.2648,7.2502,7.258
2025-02-25,7.2603,7.2666,7.238,7.2525
2025-02-24,7.2474,7.253,7.2281,7.2466
2025-02-21,7.2517,7.2584,7.2366,7.253
2025-02-20,7.2787,7.2823,7.238,7.2391
2025-02-19,7.2805,7.2871,7.2751,7.2775
2025-02-18,7.2681,7.2826,7.2681,7.2733
2025-02-17,7.248,7.265,7.2433,7.265
2025-02-14,7.28,7.2905,7.246,7.2595
2025-02-13,7.3084,7.3084,7.2818,7.2899
2025-02-12,7.3123,7.3123,7.305,7.305
2025-02-11,7.3075,7.3088,7.3036,7.306
2025-02-10,7.3021,7.3089,7.3021,7.3042
2025-02-07,7.2862,7.2961,7.282,7.2949
2025-02-06,7.2776,7.2937,7.2722,7.2838
2025-02-05,7.2727,7.2856,7.2679,7.272
2025-02-04,7.2507,7.2507,7.2424,7.2507
2025-02-03,7.2507,7.2512,7.2424,7.2512
2025-01-31,7.2507,7.2507,7.2424,7.2507
2025-01-30,7.2507,7.2512,7.2424,7.2507
2025-01-29,7.2507,7.2513,7.2424,7.2507
2025-01-28,7.2507,7.2512,7.2424,7.2507
2025-01-27,7.256,7.268,7.2425,7.2535
2025-01-24,7.2828,7.2852,7.2361,7.238
2025-01-23,7.276,7.2892,7.2713,7.2846
2025-01-22,7.27,7.283,7.2633,7.277
2025-01-21,7.271,7.287,7.2555,7.262
2025-01-20,7.3235,7.3244,7.2511,7.279
2025-01-17,7.3309,7.3311,7.323,7.3249
2025-01-16,7.331,7.3319,7.3295,7.3316
2025-01-15,7.3312,7.3321,7.3285,7.3319
2025-01-14,7.331,7.3316,7.3276,7.3311
2025-01-13,7.3311,7.3322,7.33,7.3319
2025-01-10,7.3309,7.3329,7.3289,7.3327
2025-01-09,7.3312,7.3323,7.3289,7.3322
2025-01-08,7.3289,7.3325,7.3289,7.3317
2025-01-07,7.3282,7.3294,7.3211,7.3284
2025-01-06,7.3175,7.3301,7.3106,7.327
2025-01-03,7.2988,7.322,7.2988,7.3216
2025-01-02,7.298,7.2999,7.2891,7.2994
2025-01-01,7.2994,7.2996,7.2993,7.2994
2024-12-31,7.2974,7.2999,7.292,7.2994
2024-12-30,7.2974,7.2997,7.2967,7.2994
2024-12-27,7.2979,7.2998,7.2889,7.295
2024-12-26,7.298,7.2998,7.2968,7.2975
2024-12-25,7.2957,7.2994,7.294,7.294
2024-12-24,7.2985,7.2993,7.2941,7.2946
2024-12-23,7.29,7.2998,7.29,7.297
2024-12-20,7.2932,7.2998,7.2932,7.2944
2024-12-19,7.2975,7.2999,7.2946,7.2946
2024-12-18,7.28,7.2875,7.28,7.2848
2024-12-17,7.2868,7.2875,7.2776,7.284
2024-12-16,7.2717,7.285,7.2717,7.2836
2024-12-13,7.273,7.2827,7.2725,7.2731
2024-12-12,7.2595,7.2726,7.257,7.27
2024-12-11,7.2466,7.2791,7.2406,7.2615
2024-12-10,7.258,7.2642,7.2387,7.2491
2024-12-09,7.2743,7.2805,7.256,7.2562
2024-12-06,7.2636,7.2733,7.2521,7.2733
2024-12-05,7.267,7.2752,7.254,7.2555
2024-12-04,7.2785,7.2835,7.2625,7.2679
2024-12-03,7.284,7.2975,7.2777,7.287
2024-12-02,7.2515,7.275,7.2515,7.274
2024-11-29,7.2345,7.248,7.2266,7.248
2024-11-28,7.2394,7.2544,7.238,7.245
2024-11-27,7.2486,7.2582,7.2436,7.247
2024-11-26,7.2522,7.2591,7.2466,7.2503
2024-11-25,7.2383,7.2487,7.2367,7.2448
2024-11-22,7.244,7.2526,7.244,7.2478
2024-11-21,7.2432,7.2439,7.2361,7.2418
2024-11-20,7.2388,7.2474,7.2378,7.2455
2024-11-19,7.2316,7.245,7.2295,7.2395
2024-11-18,7.2375,7.2459,7.2298,7.2315
2024-11-15,7.2352,7.2418,7.2257,7.2288
2024-11-14,7.2291,7.2472,7.2256,7.2279
2024-11-13,7.2231,7.235,7.2049,7.233
2024-11-12,7.2195,7.2424,7.2175,7.2355
2024-11-11,7.1797,7.2152,7.1758,7.215
2024-11-08,7.1543,7.186,7.1391,7.186
2024-11-07,7.183,7.1866,7.1331,7.1455
2024-11-06,7.1298,7.1803,7.1216,7.1796
2024-11-05,7.107,7.1111,7.1011,7.106
2024-11-04,7.1116,7.1154,7.0858,7.1011
2024-11-01,7.1145,7.1337,7.11,7.13
2024-10-31,7.12,7.1258,7.114,7.1176
2024-10-30,7.1332,7.137,7.115,7.115
2024-10-29,7.1315,7.1431,7.1268,7.128
2024-10-28,7.1339,7.1354,7.1215,7.1266
2024-10-25,7.1175,7.1277,7.1156,7.122
2024-10-24,7.127,7.127,7.1103,7.1203
2024-10-23,7.1307,7.1341,7.1235,7.1325
2024-10-22,7.1199,7.1258,7.1194,7.124
2024-10-21,7.1037,7.121,7.0965,7.121
2024-10-18,7.1199,7.1255,7.0999,7.103
2024-10-17,7.122,7.1283,7.1155,7.1235
2024-10-16,7.121,7.1244,7.1115,7.1197
2024-10-15,7.0888,7.1218,7.0872,7.1193
2024-10-14,7.0795,7.09,7.073,7.09
2024-10-11,7.0744,7.0782,7.0628,7.0669
2024-10-10,7.074,7.083,7.062,7.0768
2024-10-09,7.065,7.0838,7.0542,7.08
2024-10-08,7.056,7.0818,7.0481,7.0648
2024-10-07,7.0176,7.0186,7.0176,7.0186
2024-10-04,7.0186,7.0186,7.0186,7.0186
2024-10-03,7.0186,7.0186,7.0186,7.0186
2024-10-02,7.0215,7.0215,7.0176,7.0176
2024-10-01,7.0176,7.0176,7.0176,7.0176
2024-09-30,7.0155,7.0215,7.011,7.0215
2024-09-27,7.016,7.019,7.0109,7.0111
2024-09-26,7.0316,7.0316,7.009,7.011
2024-09-25,7.0203,7.0346,7.0158,7.034
2024-09-24,7.0555,7.0635,7.0316,7.0318
2024-09-23,7.0461,7.0608,7.0443,7.0525
2024-09-20,7.0584,7.0625,7.0425,7.048
2024-09-19,7.103,7.1088,7.06,7.064
2024-09-18,7.0973,7.0999,7.0708,7.078
2024-09-17,7.0972,7.0972,7.0958,7.0958
2024-09-16,7.0935,7.0935,7.0935,7.0935
2024-09-13,7.1068,7.1116,7.09,7.0958
2024-09-12,7.1245,7.1245,7.1155,7.1173
2024-09-11,7.1215,7.1215,7.1076,7.1192
2024-09-10,7.1181,7.1258,7.1171,7.12
2024-09-09,7.1079,7.1177,7.1058,7.1142
2024-09-06,7.0858,7.1,7.0809,7.1
2024-09-05,7.101,7.1039,7.086,7.0888
2024-09-04,7.115,7.1181,7.1061,7.1125
2024-09-03,7.1205,7.1256,7.1137,7.1204
2024-09-02,7.0993,7.1194,7.095,7.117
2024-08-30,7.091,7.1016,7.0833,7.092
2024-08-29,7.1293,7.1315,7.0908,7.098
2024-08-28,7.1254,7.1353,7.1218,7.129
2024-08-27,7.1246,7.1317,7.1207,7.1237
2024-08-26,7.115,7.1244,7.1135,7.1218
2024-08-23,7.1433,7.1471,7.1195,7.121
2024-08-22,7.1314,7.148,7.1305,7.148
2024-08-21,7.135,7.1415,7.1257,7.13
2024-08-20,7.1307,7.1497,7.1285,7.1297
2024-08-19,7.1481,7.1563,7.1313,7.139
2024-08-16,7.1798,7.1798,7.1588,7.1595
2024-08-15,7.158,7.177,7.1529,7.1754
2024-08-14,7.1483,7.1543,7.1346,7.14
2024-08-13,7.1812,7.1828,7.1495,7.1542
2024-08-12,7.1741,7.1827,7.1717,7.1744
2024-08-09,7.1764,7.1794,7.162,7.1688
2024-08-08,7.1745,7.18,7.1555,7.1753
2024-08-07,7.1688,7.1868,7.1688,7.1757
2024-08-06,7.154,7.1622,7.1405,7.1582
2024-08-05,7.1403,7.1567,7.1122,7.1395
2024-08-02,7.2446,7.2469,7.155,7.1704
2024-08-01,7.2128,7.2491,7.2095,7.246
2024-07-31,7.2288,7.242,7.213,7.2265
2024-07-30,7.2633,7.2648,7.2366,7.245
2024-07-29,7.2528,7.261,7.2514,7.2605
2024-07-26,7.241,7.2544,7.228,7.2502
2024-07-25,7.2598,7.2638,7.208,7.245
2024-07-24,7.277,7.2776,7.2618,7.264
2024-07-23,7.2729,7.2757,7.2727,7.2747
2024-07-22,7.2732,7.2739,7.2707,7.2736
2024-07-19,7.2655,7.2699,7.2651,7.2698
2024-07-18,7.2565,7.262,7.2518,7.262
2024-07-17,7.2683,7.2688,7.2522,7.2636
2024-07-16,7.2644,7.2688,7.2644,7.2685
2024-07-15,7.2602,7.2638,7.2576,7.259
2024-07-12,7.2603,7.2652,7.2482,7.25
2024-07-11,7.2749,7.275,7.2492,7.2576
2024-07-10,7.275,7.2762,7.2748,7.276
2024-07-09,7.2708,7.2729,7.2708,7.2726
2024-07-08,7.2695,7.2708,7.2672,7.268
2024-07-05,7.2656,7.2697,7.265,7.2685
2024-07-04,7.2704,7.272,7.2667,7.2697
2024-07-03,7.2724,7.2737,7.2676,7.2699
2024-07-02,7.27,7.2714,7.27,7.2713
2024-07-01,7.2671,7.2686,7.267,7.2683
2024-06-28,7.267,7.2688,7.262,7.2672
2024-06-27,7.2667,7.2693,7.2666,7.2688
2024-06-26,7.2648,7.2671,7.2648,7.2667
2024-06-25,7.2605,7.2631,7.2584,7.2629
2024-06-24,7.261,7.2624,7.2569,7.2598
2024-06-21,7.26,7.2614,7.26,7.2609
2024-06-20,7.2595,7.2607,7.2587,7.2604
2024-06-19,7.2554,7.2574,7.2552,7.2572
2024-06-18,7.2554,7.2566,7.2538,7.2538
2024-06-17,7.2545,7.2564,7.2536,7.2562
2024-06-14,7.2543,7.2562,7.2539,7.2557
2024-06-13,7.2481,7.2527,7.2479,7.2523
2024-06-12,7.2525,7.2539,7.238,7.238
2024-06-11,7.2516,7.2547,7.2516,7.2545
2024-06-10,7.2477,7.2477,7.2477,7.2477
2024-06-07,7.245,7.248,7.2397,7.248
2024-06-06,7.2456,7.2475,7.2424,7.2447
2024-06-05,7.2418,7.2482,7.2418,7.2477
2024-06-04,7.242,7.2463,7.2357,7.2402
2024-06-03,7.2436,7.247,7.2413,7.2413
2024-05-31,7.232,7.2445,7.232,7.2421
2024-05-30,7.2493,7.2499,7.2288,7.232
2024-05-29,7.248,7.2496,7.2469,7.2495
2024-05-28,7.2448,7.2472,7.2441,7.2441
2024-05-27,7.2425,7.2455,7.2425,7.245
2024-05-24,7.2415,7.2456,7.2395,7.2435
2024-05-23,7.2431,7.2457,7.2388,7.2422
2024-05-22,7.2389,7.2416,7.2373,7.2416
2024-05-21,7.2391,7.2418,7.2324,7.2377
2024-05-20,7.2293,7.235,7.2286,7.2342
2024-05-17,7.2262,7.2277,7.2177,7.2254
2024-05-16,7.2088,7.2236,7.2076,7.2199
2024-05-15,7.2331,7.2347,7.2109,7.2176
2024-05-14,7.2349,7.238,7.2294,7.233
2024-05-13,7.2304,7.2355,7.2304,7.2332
2024-05-10,7.2241,7.2272,7.2225,7.227
2024-05-09,7.225,7.2268,7.2178,7.2212
2024-05-08,7.2215,7.2287,7.2215,7.2236
2024-05-07,7.2152,7.2198,7.2141,7.2181
2024-05-06,7.2051,7.2166,7.2011,7.2077
2024-05-03,7.2422,7.2422,7.2422,7.2422
2024-05-02,7.2401,7.2401,7.2401,7.2401
2024-05-01,7.2401,7.2401,7.2401,7.2401
2024-04-30,7.2385,7.2445,7.2377,7.2422
2024-04-29,7.2455,7.2468,7.2222,7.225
2024-04-26,7.2438,7.2472,7.2432,7.2465
2024-04-25,7.2456,7.2479,7.238,7.2396
2024-04-24,7.2435,7.2464,7.2433,7.2461
2024-04-23,7.2442,7.2471,7.2439,7.2448
2024-04-22,7.2404,7.2441,7.2404,7.244
2024-04-19,7.2391,7.243,7.2385,7.239
2024-04-18,7.2345,7.2396,7.2325,7.2382
2024-04-17,7.2341,7.2408,7.2335,7.2383
2024-04-16,7.2404,7.2404,7.2319,7.238
2024-04-15,7.236,7.2389,7.236,7.2378
2024-04-12,7.2357,7.2378,7.2357,7.2372
2024-04-11,7.2357,7.2376,7.2341,7.2365
2024-04-10,7.2323,7.2348,7.2276,7.2345
2024-04-09,7.2331,7.2346,7.2283,7.2329
2024-04-08,7.228,7.2343,7.2275,7.231
2024-04-05,7.2332,7.2332,7.2332,7.2332
2024-04-04,7.233,7.2337,7.233,7.233
2024-04-03,7.2328,7.2364,7.227,7.232
2024-04-02,7.2305,7.2364,7.2304,7.232
2024-04-01,7.2255,7.2311,7.2255,7.2308
2024-03-29,7.2258,7.2281,7.2188,7.2215
2024-03-28,7.2265,7.2303,7.222,7.2256
2024-03-27,7.2184,7.229,7.2184,7.2265
2024-03-26,7.205,7.2202,7.2038,7.215
2024-03-25,7.2168,7.2168,7.1943,7.212
2024-03-22,7.199,7.2303,7.199,7.229
2024-03-21,7.1958,7.1996,7.1944,7.1994
2024-03-20,7.1986,7.1998,7.1965,7.1967
2024-03-19,7.1978,7.1996,7.1974,7.1996
2024-03-18,7.1967,7.1986,7.196,7.1986
2024-03-15,7.1957,7.1971,7.1944,7.1965
2024-03-14,7.189,7.195,7.1881,7.195
2024-03-13,7.1831,7.1952,7.1831,7.187
2024-03-12,7.1775,7.1831,7.171,7.1831
2024-03-11,7.1888,7.1925,7.1793,7.1809
2024-03-08,7.1899,7.1945,7.1798,7.1876
2024-03-07,7.1946,7.199,7.192,7.1931
2024-03-06,7.1972,7.1996,7.197,7.1971
2024-03-05,7.1979,7.1997,7.193,7.197
2024-03-04,7.1962,7.1996,7.1958,7.1986
2024-03-01,7.1925,7.1994,7.1925,7.196
2024-02-29,7.1967,7.1967,7.1875,7.1878
2024-02-28,7.1979,7.1995,7.1976,7.1976
2024-02-27,7.1971,7.1988,7.1958,7.1981
2024-02-26,7.196,7.1988,7.1956,7.198
2024-02-23,7.1944,7.1995,7.1897,7.1953
2024-02-22,7.1891,7.195,7.1856,7.1937
2024-02-21,7.1953,7.1966,7.1775,7.1905
2024-02-20,7.1962,7.1992,7.1897,7.1925
2024-02-19,7.1936,7.1988,7.1936,7.1987
2024-02-16,7.1929,7.1936,7.1929,7.1936
2024-02-15,7.1936,7.1936,7.1929,7.1929
2024-02-14,7.1929,7.1936,7.1927,7.1927
2024-02-12,7.1936,7.1936,7.1936,7.1936
2024-02-09,7.1937,7.1977,7.191,7.1929
2024-02-08,7.1888,7.1973,7.1888,7.197
2024-02-07,7.188,7.1961,7.182,7.1957
2024-02-06,7.194,7.1981,7.1867,7.1883
2024-02-05,7.1955,7.1989,7.1936,7.1988
2024-02-02,7.1799,7.194,7.176,7.194
2024-02-01,7.1768,7.1848,7.1763,7.1799
2024-01-31,7.1764,7.1823,7.167,7.1695
2024-01-30,7.1751,7.18,7.1743,7.1789
2024-01-29,7.179,7.1834,7.1764,7.181
2024-01-26,7.173,7.182,7.1701,7.1785
2024-01-25,7.1518,7.1746,7.1518,7.1746
2024-01-24,7.1669,7.176,7.1429,7.158
2024-01-23,7.1916,7.1936,7.1627,7.171
2024-01-22,7.194,7.1975,7.191,7.191
2024-01-19,7.1937,7.1966,7.1878,7.1932
2024-01-18,7.1862,7.1973,7.1862,7.196
2024-01-17,7.1872,7.1995,7.1872,7.1965
2024-01-16,7.1788,7.194,7.1749,7.1872
2024-01-15,7.18,7.1806,7.1657,7.172
2024-01-12,7.1657,7.1735,7.1583,7.169
2024-01-11,7.1669,7.1724,7.1551,7.167
2024-01-10,7.1731,7.1766,7.1667,7.1724
2024-01-09,7.1561,7.1688,7.154,7.1688
2024-01-08,7.1488,7.1635,7.1447,7.1529
2024-01-05,7.1683,7.1714,7.1383,7.146
2024-01-04,7.156,7.162,7.1461,7.162
2024-01-03,7.1455,7.1536,7.1399,7.149
2024-01-02,7.1096,7.1442,7.1077,7.1429
2024-01-01,7.0978,7.0978,7.0978,7.0978
2023-12-29,7.097,7.114,7.0865,7.0978
2023-12-28,7.13,7.1301,7.0983,7.1124
2023-12-27,7.142,7.1499,7.1405,7.144
2023-12-26,7.1355,7.1476,7.1355,7.1425
2023-12-25,7.133,7.139,7.1302,7.1366
2023-12-22,7.142,7.1502,7.123,7.1355
2023-12-21,7.1382,7.15,7.1301,7.141
2023-12-20,7.1287,7.1414,7.1225,7.1382
2023-12-19,7.1351,7.1474,7.1165,7.12
2023-12-18,7.1179,7.1361,7.1179,7.1326
2023-12-15,7.1188,7.126,7.0972,7.123
2023-12-14,7.1725,7.1725,7.0955,7.1099
2023-12-13,7.18,7.1858,7.17,7.17
2023-12-12,7.1755,7.1788,7.1658,7.1762
2023-12-11,7.1699,7.1882,7.1645,7.175
2023-12-08,7.1503,7.1699,7.1501,7.1699
2023-12-07,7.159,7.1626,7.145,7.15
