date,open,high,low,close
2025-04-07,145.587,145.696,144.813,145.414
2025-04-04,145.938,147.432,144.544,146.935
2025-04-03,148.68,148.702,145.182,145.934
2025-04-02,149.641,150.491,148.658,148.686
2025-04-01,149.887,150.14,148.97,149.63
2025-03-31,149.633,150.267,148.697,149.919
2025-03-28,151.031,151.208,149.68,149.83
2025-03-27,150.521,151.156,150.056,151.02
2025-03-26,149.871,150.745,149.838,150.503
2025-03-25,150.665,150.943,149.544,149.87
2025-03-24,149.362,150.757,149.346,150.663
2025-03-21,148.758,149.662,148.577,149.275
2025-03-20,148.801,148.961,148.175,148.759
2025-03-19,149.23,150.147,148.593,148.798
2025-03-18,149.136,149.936,149.094,149.23
2025-03-17,148.74,149.284,148.261,149.134
2025-03-14,147.722,149.024,147.714,148.61
2025-03-13,148.197,148.376,147.41,147.73
2025-03-12,147.722,149.199,147.714,148.197
2025-03-11,147.14,148.125,146.538,147.708
2025-03-10,147.603,147.853,146.628,147.151
2025-03-07,147.948,148.2,146.943,148.018
2025-03-06,148.871,149.331,147.308,147.976
2025-03-05,149.754,150.184,148.382,148.863
2025-03-04,149.472,149.877,148.093,149.801
2025-03-03,150.689,151.303,149.096,149.485
2025-02-28,149.77,150.99,149.094,150.545
2025-02-27,149.052,150.163,148.741,149.801
2025-02-26,149.023,149.887,148.615,149.076
2025-02-25,149.687,150.301,148.562,149.023
2025-02-24,149.312,149.875,148.839,149.684
2025-02-21,149.578,150.736,148.922,149.262
2025-02-20,151.438,151.46,149.393,149.608
2025-02-19,152.022,152.313,151.242,151.452
2025-02-18,151.485,152.221,151.226,152.049
2025-02-17,152.204,152.391,151.329,151.483
2025-02-14,152.778,153.151,152.021,152.254
2025-02-13,154.409,154.669,152.697,152.784
2025-02-12,152.46,154.803,152.353,154.401
2025-02-11,151.988,152.606,151.645,152.47
2025-02-10,151.22,152.538,151.156,151.988
2025-02-07,151.414,152.425,150.924,151.377
2025-02-06,152.606,152.897,151.233,151.334
2025-02-05,154.307,154.459,152.109,152.597
2025-02-04,154.721,155.521,154.164,154.318
2025-02-03,154.766,155.887,154.004,154.689
2025-01-31,154.26,155.221,153.91,155.182
2025-01-30,155.218,155.236,153.785,154.285
2025-01-29,155.573,155.792,154.934,155.191
2025-01-28,154.474,155.978,154.438,155.501
2025-01-27,155.568,156.248,153.708,154.502
2025-01-24,156.024,156.577,154.834,155.92
2025-01-23,156.486,156.751,155.738,156.025
2025-01-22,155.456,156.708,155.35,156.494
2025-01-21,155.637,156.235,154.77,155.519
2025-01-20,156.269,156.581,155.405,155.55
2025-01-17,155.169,156.374,154.973,156.266
2025-01-16,156.421,156.528,155.083,155.106
2025-01-15,157.953,158.082,155.935,156.435
2025-01-14,157.452,158.198,157.032,157.948
2025-01-13,157.725,157.964,156.908,157.459
2025-01-10,158.052,158.879,157.221,157.657
2025-01-09,158.301,158.398,157.572,158.109
2025-01-08,158.034,158.554,157.898,158.335
2025-01-07,157.552,158.427,157.362,158.012
2025-01-06,157.177,157.961,156.236,157.55
2025-01-03,157.48,157.564,156.87,157.273
2025-01-02,157.194,157.852,156.43,157.446
2025-01-01,157.17,157.268,157.08,157.247
2024-12-31,156.821,157.549,156.014,157.21
2024-12-30,157.724,158.075,156.666,156.85
2024-12-27,157.931,157.987,157.344,157.772
2024-12-26,157.201,158.084,157.061,157.932
2024-12-25,157.111,157.354,156.96,157.192
2024-12-24,157.089,157.393,156.884,157.145
2024-12-23,156.345,157.267,156.329,157.096
2024-12-20,157.375,157.925,155.947,156.407
2024-12-19,154.785,157.807,154.428,157.417
2024-12-18,153.416,154.87,153.33,154.815
2024-12-17,154.076,154.34,153.155,153.412
2024-12-16,153.611,154.478,153.32,154.115
2024-12-13,152.566,153.802,152.445,153.683
2024-12-12,152.412,152.774,151.796,152.602
2024-12-11,151.92,152.864,151.0,152.411
2024-12-10,151.18,152.181,150.893,151.923
2024-12-09,149.998,151.347,149.684,151.204
2024-12-06,150.057,150.699,149.356,149.989
2024-12-05,150.58,150.774,149.65,150.073
2024-12-04,149.562,151.231,149.515,150.539
2024-12-03,149.57,150.236,148.641,149.59
2024-12-02,149.625,150.75,149.076,149.571
2024-11-29,151.525,151.544,149.46,149.743
2024-11-28,151.056,151.95,150.891,151.514
2024-11-27,153.042,153.233,150.449,151.053
2024-11-26,154.182,154.485,152.983,153.061
2024-11-25,154.199,154.723,153.545,154.182
2024-11-22,154.516,155.025,153.96,154.73
2024-11-21,155.393,155.411,153.902,154.522
2024-11-20,154.647,155.886,154.518,155.398
2024-11-19,154.648,154.8,153.272,154.632
2024-11-18,154.35,155.359,153.834,154.649
2024-11-15,156.237,156.748,153.857,154.309
2024-11-14,155.441,156.419,155.315,156.243
2024-11-13,154.571,155.628,154.335,155.446
2024-11-12,153.704,154.925,153.403,154.602
2024-11-11,152.652,153.952,152.607,153.697
2024-11-08,152.921,153.366,152.136,152.608
2024-11-07,154.609,154.713,152.687,152.923
2024-11-06,151.604,154.698,151.282,154.616
2024-11-05,152.119,152.544,151.332,151.609
2024-11-04,152.25,152.557,151.528,152.119
2024-11-01,152.041,153.094,151.778,152.946
2024-10-31,153.31,153.616,151.828,152.04
2024-10-30,153.336,153.495,152.775,153.315
2024-10-29,153.222,153.866,152.75,153.338
2024-10-28,152.907,153.882,152.403,153.206
2024-10-25,151.799,152.38,151.452,152.244
2024-10-24,152.655,152.827,151.546,151.798
2024-10-23,151.023,153.187,150.99,152.655
2024-10-22,150.715,151.196,150.49,151.017
2024-10-21,149.514,150.887,149.085,150.708
2024-10-18,150.151,150.286,149.358,149.485
2024-10-17,149.56,150.322,149.238,150.156
2024-10-16,149.174,149.807,148.86,149.58
2024-10-15,149.754,149.837,148.845,149.178
2024-10-14,149.115,149.981,149.111,149.755
2024-10-11,148.523,149.283,148.396,149.09
2024-10-10,149.148,149.572,148.226,148.515
2024-10-09,148.227,149.365,148.006,149.142
2024-10-08,148.128,148.382,147.341,148.21
2024-10-07,148.759,149.129,147.83,148.107
2024-10-04,146.829,149.005,145.912,148.679
2024-10-03,146.348,147.239,146.273,146.85
2024-10-02,143.606,146.516,143.415,146.345
2024-10-01,143.56,144.53,142.964,143.603
2024-09-30,142.243,143.915,141.638,143.575
2024-09-27,144.767,146.491,142.062,142.15
2024-09-26,144.661,145.22,144.104,144.77
2024-09-25,143.159,144.842,142.884,144.648
2024-09-24,143.562,144.679,143.108,143.159
2024-09-23,143.881,144.459,143.16,143.574
2024-09-20,142.614,144.495,141.733,143.808
2024-09-19,142.098,143.944,141.876,142.624
2024-09-18,142.333,142.711,140.433,142.098
2024-09-17,140.607,142.465,140.315,142.341
2024-09-16,140.726,140.912,139.572,140.601
2024-09-13,141.82,141.875,140.278,140.764
2024-09-12,142.272,143.044,141.721,141.816
2024-09-11,142.407,142.546,140.704,142.266
2024-09-10,143.118,143.711,142.192,142.405
2024-09-09,142.122,143.8,141.937,143.121
2024-09-06,143.406,144.041,141.765,142.251
2024-09-05,143.642,144.23,142.841,143.404
2024-09-04,145.4,145.556,143.574,143.626
2024-09-03,146.882,147.21,145.098,145.401
2024-09-02,146.084,147.175,145.768,146.882
2024-08-30,144.961,146.247,144.647,146.176
2024-08-29,144.433,145.553,144.215,144.955
2024-08-28,143.92,145.039,143.677,144.433
2024-08-27,144.473,145.175,143.882,143.93
2024-08-26,144.021,144.654,143.44,144.481
2024-08-23,146.213,146.483,144.042,144.367
2024-08-22,145.158,146.525,144.84,146.219
2024-08-21,145.113,146.895,144.45,145.152
2024-08-20,146.566,147.345,145.053,145.11
2024-08-19,147.651,148.052,145.18,146.561
2024-08-16,149.302,149.311,147.561,147.579
2024-08-15,147.249,149.4,147.049,149.293
2024-08-14,146.83,147.496,146.067,147.123
2024-08-13,147.175,147.946,146.589,146.833
2024-08-12,146.72,148.222,146.691,147.178
2024-08-09,147.185,147.813,146.265,146.634
2024-08-08,146.696,147.547,145.415,147.181
2024-08-07,144.509,147.901,144.294,146.702
2024-08-06,144.055,146.369,143.619,144.518
2024-08-05,146.446,146.563,141.681,144.052
2024-08-02,149.295,149.774,146.412,146.519
2024-08-01,149.864,150.89,148.506,149.295
2024-07-31,152.658,153.894,149.602,149.859
2024-07-30,153.998,155.219,152.616,152.658
2024-07-29,153.64,154.351,153.009,154.0
2024-07-26,153.924,154.738,153.088,153.718
2024-07-25,153.744,154.318,151.935,153.915
2024-07-24,155.575,155.991,153.1,153.751
2024-07-23,156.94,157.101,155.509,155.569
2024-07-22,157.38,157.613,156.28,156.921
2024-07-19,157.342,157.862,156.952,157.44
2024-07-18,156.147,157.4,155.364,157.334
2024-07-17,158.309,158.624,156.055,156.15
2024-07-16,158.062,158.86,158.038,158.312
2024-07-15,158.137,158.419,157.151,158.061
2024-07-12,158.932,159.445,157.359,157.848
2024-07-11,161.564,161.759,157.409,158.931
2024-07-10,161.279,161.805,161.236,161.57
2024-07-09,160.769,161.517,160.724,161.275
2024-07-08,160.743,161.12,160.258,160.789
2024-07-05,161.218,161.399,160.326,160.719
2024-07-04,161.533,161.673,160.942,161.222
2024-07-03,161.421,161.952,160.768,161.546
2024-07-02,161.443,161.743,161.264,161.422
2024-07-01,160.811,161.728,160.731,161.442
2024-06-28,160.727,161.282,160.258,160.835
2024-06-27,160.752,160.826,160.276,160.719
2024-06-26,159.644,160.865,159.586,160.752
2024-06-25,159.572,159.757,159.186,159.641
2024-06-24,159.69,159.934,158.74,159.576
2024-06-21,158.899,159.835,158.664,159.767
2024-06-20,157.983,158.938,157.916,158.894
2024-06-19,157.821,158.131,157.595,157.988
2024-06-18,157.726,158.229,157.512,157.821
2024-06-17,157.308,157.96,157.15,157.728
2024-06-14,156.985,158.257,156.795,157.323
2024-06-13,156.584,157.311,156.563,156.984
2024-06-12,157.107,157.38,155.71,156.58
2024-06-11,157.002,157.402,156.802,157.113
2024-06-10,156.726,157.193,156.699,157.002
2024-06-07,155.582,157.076,155.116,156.752
2024-06-06,156.037,156.445,155.349,155.592
2024-06-05,154.8,156.485,154.771,156.023
2024-06-04,156.106,156.484,154.541,154.807
2024-06-03,157.19,157.475,155.947,156.103
2024-05-31,156.779,157.364,156.556,157.29
2024-05-30,157.581,157.667,156.369,156.772
2024-05-29,157.136,157.708,156.892,157.58
2024-05-28,156.863,157.2,156.576,157.136
2024-05-27,156.903,156.959,156.657,156.857
2024-05-24,156.948,157.146,156.818,156.943
2024-05-23,156.666,157.194,156.52,156.955
2024-05-22,156.144,156.842,156.114,156.667
2024-05-21,156.208,156.545,155.838,156.123
2024-05-20,155.601,156.307,155.492,156.208
2024-05-17,155.342,155.977,155.245,155.619
2024-05-16,154.768,155.537,153.594,155.341
2024-05-15,156.411,156.56,154.688,154.777
2024-05-14,156.193,156.785,156.165,156.417
2024-05-13,155.675,156.251,155.493,156.193
2024-05-10,155.466,155.903,155.257,155.703
2024-05-09,155.496,155.951,155.144,155.471
2024-05-08,154.584,155.686,154.563,155.499
2024-05-07,153.861,154.746,153.852,154.588
2024-05-06,152.798,154.005,152.798,153.854
2024-05-03,153.692,153.717,151.853,152.949
2024-05-02,154.255,156.283,153.053,153.697
2024-05-01,157.704,157.987,152.986,154.252
2024-04-30,156.266,157.847,156.049,157.7
2024-04-29,157.897,160.216,154.487,156.268
2024-04-26,155.588,158.439,154.962,158.296
2024-04-25,155.224,155.747,155.192,155.579
2024-04-24,154.768,155.372,154.726,155.225
2024-04-23,154.804,154.875,154.55,154.767
2024-04-22,154.457,154.849,154.457,154.811
2024-04-19,154.59,154.673,153.584,154.562
2024-04-18,154.319,154.68,153.951,154.594
