p,d,q,aic,bic
1,0,1,-6459.276325799596,-6438.711345310194
1,0,2,-6459.550697660572,-6433.84447204882
1,0,3,-6459.896716467845,-6429.049245733742
1,0,4,-6459.110229950613,-6423.1215140941595
1,0,5,-6457.676435550595,-6416.546474571791
1,0,6,-6456.300785131319,-6410.029579030164
1,0,7,-6466.837358794762,-6415.424907571257
1,0,8,-6465.962008915119,-6409.408312569264
1,0,9,-6464.020049017432,-6402.325107549226
1,0,10,-6462.174666171059,-6395.338479580502
1,1,1,-6463.016276981412,-6447.594917852109
1,1,2,-6460.995322296453,-6440.433510124049
1,1,3,-6463.658816120369,-6437.956550904863
1,1,4,-6460.473756187446,-6429.63103792884
1,1,5,-6459.123013020186,-6423.139841718477
1,1,6,-6457.359314866631,-6416.235690521822
1,1,7,-6467.45477153538,-6421.19069414747
1,1,8,-6466.596795592988,-6415.192265161977
1,1,9,-6464.934862683216,-6408.389879209103
1,1,10,-6463.10248406167,-6401.417047544456
1,2,1,-6450.158666745865,-6434.73968573797
1,2,2,-6452.103884016077,-6431.545242672218
1,2,3,-6452.801411254343,-6427.103109574518
1,2,4,-6451.017664875538,-6420.179702859748
1,2,5,-6449.418229305817,-6413.440606954062
1,2,6,-6448.615092809934,-6407.497810122215
1,2,7,-6450.422135658106,-6404.165192634421
1,2,8,-6448.8874277918385,-6397.49082443219
1,2,9,-6450.60797952609,-6394.071715830476
1,2,10,-6450.383460530018,-6388.707536498439
2,0,1,-6463.070618977567,-6437.364393365815
2,0,2,-6457.859209154432,-6427.0117384203295
2,0,3,-6461.047640846753,-6425.0589249903
2,0,4,-6456.867197317659,-6415.737236338855
2,0,5,-6455.76181269544,-6409.490606594286
2,0,6,-6456.062360264343,-6404.649909040838
2,0,7,-6464.265415385823,-6407.711719039968
2,0,8,-6463.932746202013,-6402.237804733807
2,0,9,-6462.022006779526,-6395.18582018897
2,0,10,-6459.901021665905,-6387.923589952999
2,1,1,-6464.827826851102,-6444.2660146786975
2,1,2,-6466.079871871114,-6440.377606655608
2,1,3,-6461.706245663834,-6430.863527405228
2,1,4,-6459.101080586868,-6423.11790928516
2,1,5,-6462.432216454096,-6421.308592109287
2,1,6,-6455.064993389988,-6408.800916002077
2,1,7,-6465.504444509384,-6414.099914078372
2,1,8,-6464.95764757432,-6408.412664100207
2,1,9,-6462.943425455578,-6401.257988938364
2,1,10,-6460.960496765299,-6394.134607204984
2,2,1,-6451.655566858015,-6431.096925514155
2,2,2,-6448.7152270828665,-6423.016925403042
2,2,3,-6453.802713111717,-6422.964751095928
2,2,4,-6447.459086273089,-6411.481463921335
2,2,5,-6445.516780583536,-6404.399497895817
2,2,6,-6452.160426660841,-6405.903483637157
2,2,7,-6451.4176159099525,-6400.021012550304
2,2,8,-6451.377856297464,-6394.84159260185
2,2,9,-6449.907823133648,-6388.231899102069
2,2,10,-6449.516563812313,-6382.700979444769
3,0,1,-6458.678524661996,-6427.831053927893
3,0,2,-6459.878986268663,-6423.890270412209
3,0,3,-6459.256289167233,-6418.126328188429
3,0,4,-6456.401668514109,-6410.130462412954
3,0,5,-6455.912079798313,-6404.499628574808
3,0,6,-6452.344884413507,-6395.791188067652
3,0,7,-6463.37843900031,-6401.683497532104
3,0,8,-6462.040949048323,-6395.204762457766
3,0,9,-6460.012271489924,-6388.034839777018
3,0,10,-6458.058112835457,-6380.9394360002
3,1,1,-6461.46918736161,-6435.766922146105
3,1,2,-6461.6992792688,-6430.856561010193
3,1,3,-6457.481492908164,-6421.498321606456
3,1,4,-6456.790009123155,-6415.666384778346
3,1,5,-6467.364824506063,-6421.100747118153
3,1,6,-6457.648937897315,-6406.2444074663035
3,1,7,-6465.069472023253,-6408.52448854914
3,1,8,-6463.799272584192,-6402.113836066978
3,1,9,-6464.340303672141,-6397.514414111826
3,1,10,-6459.004368547362,-6387.038025943946
3,2,1,-6450.979508294033,-6425.281206614208
3,2,2,-6450.722024047417,-6419.884062031628
3,2,3,-6444.502685956175,-6408.52506360442
3,2,4,-6445.305864161425,-6404.188581473706
3,2,5,-6457.89380304248,-6411.636860018795
3,2,6,-6448.636371006698,-6397.239767647049
3,2,7,-6449.475907076021,-6392.939643380407
3,2,8,-6445.934075238018,-6384.258151206439
3,2,9,-6445.16060467091,-6378.345020303366
3,2,10,-6445.990969371779,-6374.035724668271
4,0,1,-6456.919838068807,-6420.931122212353
4,0,2,-6454.135898248949,-6413.005937270145
4,0,3,-6459.123985634813,-6412.852779533659
4,0,4,-6453.479456037197,-6402.067004813693
4,0,5,-6457.29198057977,-6400.738284233915
4,0,6,-6457.807962241446,-6396.11302077324
4,0,7,-6460.5910064522595,-6393.754819861703
4,0,8,-6460.101136846865,-6388.1237051339585
4,0,9,-6458.506242709508,-6381.387565874251
4,0,10,-6455.784202938919,-6373.524280981312
4,1,1,-6461.144670725191,-6430.301952466584
4,1,2,-6460.001290225157,-6424.018118923449
4,1,3,-6464.25724079137,-6423.133616446561
4,1,4,-6462.571624662996,-6416.307547275086
4,1,5,-6465.893024329814,-6414.4884938988025
4,1,6,-6459.205476110841,-6402.660492636728
4,1,7,-6464.377617964303,-6402.692181447089
4,1,8,-6463.978483859042,-6397.152594298727
4,1,9,-6459.86485792021,-6387.898515316794
4,1,10,-6456.95081062562,-6379.844014979102
4,2,1,-6450.146513907084,-6419.308551891295
4,2,2,-6448.834751532602,-6412.857129180848
4,2,3,-6446.226204318548,-6405.108921630829
4,2,4,-6444.326433858621,-6398.069490834937
4,2,5,-6449.328890989343,-6397.932287629694
4,2,6,-6444.03713079023,-6387.500867094615
4,2,7,-6446.270441468825,-6384.594517437246
4,2,8,-6448.728119115727,-6381.912534748183
4,2,9,-6450.676365615887,-6378.721120912379
4,2,10,-6447.881121748837,-6370.7862167093635
5,0,1,-6456.776631657219,-6415.646670678415
5,0,2,-6458.168363988997,-6411.897157887843
5,0,3,-6463.310489004257,-6411.898037780752
5,0,4,-6458.017182524187,-6401.463486178332
